State,Substate Region,12-17 Estimate,18-25 Estimate,26 or Older Estimate,18 or Older Estimate
Kansas,Southeast,13.22%,*,8.36%,11.06%
Kansas,Southwest,11.58%,*,6.82%,9.18%
Kentucky,Kentucky,11.33%,29.65%,10.01%,12.79%
Kentucky,"Adanta, Cumberland River, and Lifeskills",10.45%,*,8.58%,11.10%
Kentucky,"Bluegrass, Comprehend, and North Key",11.36%,32.74%,10.79%,14.07%
Kentucky,Centerstone,12.80%,33.52%,11.43%,14.38%
Kentucky,Communicare and River Valley,10.96%,*,9.26%,11.51%
Kentucky,Four Rivers and Pennyroyal,10.74%,*,8.02%,10.44%
Kentucky,"Kentucky River, Mountain, and Pathways",10.32%,*,9.69%,12.11%
Louisiana,Louisiana,9.79%,28.38%,8.48%,11.41%
Louisiana,Regions 1 and 10,10.77%,35.26%,11.42%,14.71%
Louisiana,Region 1,11.41%,*,13.80%,17.71%
Louisiana,Region 10 (Jefferson),10.10%,*,8.91%,11.42%
Louisiana,Regions 2 and 9,10.67%,33.44%,8.74%,12.51%
Louisiana,Region 3,8.50%,*,6.74%,8.98%
Louisiana,"Regions 4, 5, and 6",8.39%,20.82%,6.92%,8.96%
Louisiana,Regions 7 and 8,10.20%,27.06%,7.95%,10.87%
Maine,Maine,16.91%,42.59%,17.69%,20.67%
Maine,Aroostook/Downeast,16.26%,39.77%,16.91%,19.41%
Maine,Aroostook,15.59%,*,15.36%,17.79%
Maine,Downeast,*,*,18.14%,20.70%
Maine,Central,16.75%,*,17.72%,20.57%
Maine,Cumberland,16.79%,46.39%,18.60%,22.01%
Maine,Midcoast,17.47%,*,17.72%,20.05%
Maine,Penquis,16.35%,*,17.45%,20.75%
Maine,Western,17.41%,*,18.24%,21.33%
Maine,York,17.23%,*,16.70%,19.62%
Maryland,Maryland,14.52%,39.60%,11.39%,15.24%
Maryland,Anne Arundel,15.30%,*,11.35%,15.30%
Maryland,Baltimore City,13.89%,*,18.01%,21.57%
Maryland,Baltimore County,14.88%,*,10.68%,14.42%
Maryland,Montgomery,12.78%,*,9.52%,12.55%
Maryland,North Central,12.90%,*,8.50%,12.08%
Maryland,Northeast,17.10%,*,11.67%,15.51%
Maryland,Prince George's,16.45%,*,13.27%,18.45%
Maryland,South,13.13%,*,8.92%,12.71%
Maryland,West,14.99%,*,10.44%,14.00%
Massachusetts,Massachusetts,15.31%,42.37%,14.77%,18.87%
Massachusetts,Boston,12.53%,*,18.18%,23.70%
Massachusetts,Central,15.38%,*,13.85%,17.31%
Massachusetts,Metrowest,15.21%,45.21%,14.93%,19.03%
Massachusetts,Northeast,15.56%,39.90%,13.23%,16.78%
Massachusetts,Southeast,15.79%,*,14.05%,17.37%
Massachusetts,Western,16.32%,*,15.77%,20.72%
Michigan,Michigan,14.24%,34.72%,12.32%,15.59%
Michigan,Region 1,14.25%,*,11.93%,14.98%
Michigan,Region 2,13.48%,*,9.45%,11.60%
Michigan,Region 3,15.35%,36.18%,12.27%,15.92%
Michigan,Region 4,15.41%,33.63%,11.60%,14.92%
Michigan,Region 5,13.00%,33.52%,11.61%,15.33%
Michigan,Region 6,13.76%,37.59%,12.61%,16.77%
Michigan,Region 7,13.90%,34.72%,14.17%,17.24%
Michigan,Region 8,13.92%,34.19%,11.62%,14.41%
Michigan,Region 9,15.24%,36.96%,13.33%,16.32%
Michigan,Region 10,14.80%,35.03%,12.40%,15.46%
Minnesota,Minnesota,12.37%,32.62%,9.58%,12.76%
Minnesota,Regions 1 and 2,12.29%,*,9.55%,12.46%
Minnesota,Region 1,*,*,8.30%,10.90%
Minnesota,Region 2,12.64%,*,10.29%,13.39%
Minnesota,Regions 3 and 4,12.78%,29.85%,8.39%,11.44%
Minnesota,Region 3,13.69%,*,8.59%,11.63%
Minnesota,Region 4,12.35%,*,8.27%,11.34%
Minnesota,Regions 5 and 6,12.35%,29.02%,7.99%,11.06%
Minnesota,Region 5,11.65%,*,7.56%,10.55%
Minnesota,Region 6,13.03%,*,8.44%,11.57%
Minnesota,Region 7,12.26%,35.07%,10.50%,13.82%
Minnesota,Region 7A (Hennepin),12.81%,40.65%,12.51%,16.21%
Minnesota,Region 7B (Ramsey),10.17%,*,10.43%,13.64%
Minnesota,Region 7C,12.57%,31.60%,8.47%,11.45%
Mississippi,Mississippi,9.55%,23.52%,6.60%,9.17%
Mississippi,Region 1,10.54%,26.47%,7.12%,10.05%
Mississippi,Region 2,9.40%,*,7.88%,10.10%
Mississippi,Region 3,8.11%,20.46%,5.26%,7.85%
Mississippi,Region 4,9.60%,25.55%,6.54%,9.39%
Mississippi,Region 5,9.19%,*,7.60%,9.85%
Mississippi,Region 6,9.43%,*,6.41%,8.86%
Mississippi,Region 7,9.62%,*,5.85%,8.08%
Missouri,Missouri,12.11%,32.44%,10.21%,13.39%
Missouri,Central,10.34%,*,8.20%,12.09%
Missouri,Eastern,13.45%,34.76%,11.39%,14.56%
Missouri,Eastern (St. Louis City and County),13.07%,36.12%,12.79%,16.00%
Missouri,Eastern (excluding St. Louis),13.98%,*,9.00%,12.08%
Missouri,Northwest,13.09%,36.14%,11.49%,14.92%
Missouri,Northwest (Jackson),13.84%,*,14.26%,17.60%
Missouri,Northwest (excluding Jackson),12.49%,*,9.12%,12.66%
Missouri,Southeast,10.24%,*,8.43%,10.92%
Missouri,Southwest,10.48%,*,8.66%,11.38%
Montana,Montana,15.48%,35.18%,14.16%,17.12%
Montana,Region 1,13.45%,*,10.34%,12.58%
Montana,Region 2,13.62%,26.39%,11.64%,13.80%
Montana,Region 3,14.96%,28.29%,11.28%,13.49%
Montana,Region 4,15.95%,39.19%,15.63%,19.17%
Montana,Region 5,17.07%,41.46%,16.96%,20.43%
Nebraska,Nebraska,11.60%,30.28%,7.62%,11.06%
Nebraska,Regions 1 and 2,11.75%,*,6.43%,9.12%
Nebraska,Region 1,*,*,6.82%,9.53%
Nebraska,Region 2,*,*,6.08%,8.75%
Nebraska,Region 3,10.32%,*,5.85%,8.90%
Nebraska,Region 4,9.78%,*,5.48%,8.04%
Nebraska,Region 5,11.42%,30.93%,7.72%,11.64%
Nebraska,Region 6,12.49%,33.57%,8.95%,12.63%
Nevada,Nevada,14.47%,30.11%,10.29%,12.90%
Nevada,Clark – Region 1,13.62%,29.21%,9.91%,12.49%
Nevada,Region 3,16.11%,*,9.21%,11.48%
Nevada,Capital District,*,*,10.07%,12.54%
Nevada,Rural/Frontier,*,*,8.41%,10.52%
Nevada,Washoe – Region 2,17.27%,35.15%,12.87%,15.89%
New Hampshire,New Hampshire,15.83%,42.25%,14.40%,18.17%
New Hampshire,Central,14.22%,39.77%,13.84%,17.58%
New Hampshire,Central 1,15.12%,*,15.27%,19.71%
New Hampshire,Central 2,13.40%,35.89%,12.47%,15.47%
New Hampshire,Northern,17.88%,*,16.31%,20.84%
New Hampshire,Southern,16.17%,42.06%,14.24%,17.87%
New Hampshire,Southern 1 (Rockingham),14.55%,*,12.73%,16.20%
New Hampshire,Southern 2,17.23%,42.08%,15.21%,18.90%
New Jersey,New Jersey,11.49%,34.31%,8.91%,12.23%
New Jersey,Central,11.66%,35.77%,8.15%,11.62%
New Jersey,Metropolitan,10.21%,31.17%,8.59%,11.74%
New Jersey,Northern,11.44%,31.35%,9.12%,11.90%
New Jersey,Southern,12.89%,40.90%,9.82%,13.97%
New Mexico,New Mexico,15.27%,33.22%,13.21%,16.11%
New Mexico,Region 1,14.64%,30.69%,11.66%,14.43%
New Mexico,Region 2,17.67%,*,16.74%,19.68%
New Mexico,Region 3 (Bernalillo),16.21%,35.78%,15.01%,17.94%
New Mexico,Region 4,13.49%,*,9.75%,12.61%
New Mexico,Region 5,14.23%,30.78%,11.23%,14.36%
New Mexico,Region 5a,15.55%,*,12.86%,15.53%
New Mexico,Region 5b (Dona Ana),13.18%,*,9.63%,13.28%
New York,New York,12.71%,35.82%,11.72%,15.20%
New York,Region 1: Long Island,13.78%,37.89%,9.66%,13.52%
New York,Region 2: New York City,11.50%,33.71%,12.87%,15.78%
New York,Region 2A: Bronx,10.63%,26.63%,8.59%,11.63%
New York,Region 2B: Kings,12.11%,34.90%,14.73%,17.64%
New York,Region 2C: New York,14.80%,48.16%,19.41%,23.10%
New York,Region 2D: Queens,9.81%,26.73%,9.04%,11.29%
New York,Region 2E: Richmond,11.24%,*,8.98%,12.29%
New York,Region 3: Mid-Hudson,12.20%,34.02%,9.37%,12.93%
New York,Region 4: Capital Region,15.24%,*,13.80%,18.41%
New York,Region 5: Mohawk Valley,*,*,10.45%,14.01%
New York,Region 6: North Country,*,*,12.16%,15.68%
New York,Region 7: Tug Hill Seaway,10.75%,*,8.90%,12.49%
New York,Region 8: Central,13.93%,36.32%,11.36%,15.37%
New York,Region 9: Southern Tier,12.96%,*,11.62%,17.29%
New York,Region 10: Finger Lakes,14.19%,38.22%,11.52%,15.55%
New York,Region 11: Western,13.78%,36.98%,12.28%,15.91%
North Carolina,North Carolina,11.33%,30.59%,9.07%,12.08%
North Carolina,Alliance Behavioral Healthcare 1,10.67%,30.46%,9.15%,12.46%
North Carolina,Alliance Behavioral Healthcare 2,10.72%,*,9.48%,12.33%
North Carolina,Cardinal Innovations Healthcare Solutions 1,11.49%,*,8.28%,11.09%
North Carolina,Cardinal Innovations Healthcare Solutions 2,10.33%,*,8.13%,10.95%
North Carolina,Cardinal Innovations Healthcare Solutions 3,11.75%,34.20%,11.13%,14.27%
North Carolina,CenterPoint Human Services,10.83%,*,8.65%,11.42%
North Carolina,Eastpointe,10.23%,23.78%,7.62%,9.86%
North Carolina,Partners Behavioral Health Management,12.35%,*,8.98%,11.80%
North Carolina,Sandhills Center 1,*,*,9.21%,12.04%
North Carolina,Sandhills Center 2,12.25%,*,10.34%,14.22%
North Carolina,Smoky Mountain Center 1,11.61%,*,8.44%,11.57%
North Carolina,Smoky Mountain Center 2,*,*,8.06%,10.20%
North Carolina,Trillium Healthcare Resources 1,11.38%,29.95%,8.91%,12.24%
North Carolina,Trillium Healthcare Resources 2,*,*,9.96%,14.29%
North Dakota,North Dakota,11.24%,25.16%,6.06%,9.50%
North Dakota,Badlands and West Central,12.10%,24.43%,6.21%,8.88%
North Dakota,Badlands,*,*,5.01%,7.57%
North Dakota,West Central,12.27%,25.16%,6.56%,9.27%
North Dakota,Lake Region,10.17%,*,5.34%,7.35%
North Dakota,North Central,10.96%,*,6.00%,9.80%
North Dakota,Northeast,12.29%,29.26%,6.77%,12.34%
North Dakota,Northwest,*,*,6.25%,8.86%
North Dakota,South Central,10.24%,*,4.25%,6.67%
North Dakota,Southeast,10.37%,24.28%,6.30%,10.00%
Ohio,Ohio,11.71%,32.14%,9.75%,12.86%
Ohio,"Boards 2, 46, 55, and 68",11.10%,*,7.49%,10.22%
Ohio,"Boards 3, 52, and 85",10.50%,*,7.10%,9.74%
Ohio,Boards 4 and 78,10.18%,*,8.08%,10.47%
Ohio,Boards 5 and 60,11.22%,*,9.89%,13.99%
Ohio,"Boards 7, 15, 41, 79, and 84",10.03%,*,8.28%,10.42%
Ohio,"Boards 8, 13, and 83",10.28%,*,6.73%,9.06%
Ohio,Board 9 (Butler),11.97%,*,9.91%,13.73%
Ohio,Board 12,10.97%,*,8.39%,11.76%
Ohio,Boards 18 and 47,12.71%,36.82%,11.05%,14.49%
Ohio,"Boards 20, 32, 54, and 69",10.28%,*,6.87%,9.06%
Ohio,"Boards 21, 39, 51, 70, and 80",10.66%,*,7.60%,9.95%
Ohio,"Boards 22, 74, and 87",11.94%,*,8.61%,11.81%
Ohio,Boards 23 and 45,10.59%,*,8.03%,10.77%
Ohio,Board 25 (Franklin),12.19%,39.39%,12.66%,16.74%
Ohio,"Boards 27, 71, and 73",11.20%,*,10.01%,12.38%
Ohio,"Boards 28, 43, and 67",11.32%,*,7.44%,10.43%
Ohio,Board 31 (Hamilton),13.95%,38.88%,13.70%,17.33%
Ohio,Board 48 (Lucas),13.21%,*,12.20%,15.07%
Ohio,Boards 50 and 76,12.36%,*,9.58%,12.72%
Ohio,Board 57 (Montgomery),12.72%,*,10.40%,13.71%
Ohio,Board 77 (Summit),11.50%,*,9.13%,11.78%
Oklahoma,Oklahoma,11.50%,27.63%,8.03%,10.97%
Oklahoma,Central,12.29%,*,7.42%,10.75%
Oklahoma,East Central,9.06%,*,5.85%,8.01%
Oklahoma,Northeast,11.49%,*,7.31%,10.34%
Oklahoma,Northwest and Southwest,12.42%,*,8.47%,11.98%
Oklahoma,Oklahoma County,12.20%,31.69%,9.43%,12.64%
Oklahoma,Southeast,10.21%,*,6.61%,8.83%
Oklahoma,Tulsa County,12.07%,29.96%,9.76%,12.64%
Oregon,Oregon,18.07%,42.99%,18.46%,21.72%
Oregon,Region 1 (Multnomah),19.45%,46.53%,26.88%,29.33%
Oregon,Region 2,15.70%,41.26%,15.72%,18.98%
Oregon,Region 3,18.87%,42.84%,17.13%,21.05%
Oregon,Region 4,18.89%,*,16.04%,19.20%
Oregon,Region 5 (Central),*,*,15.74%,18.84%
Oregon,Region 6 (Eastern),18.79%,*,15.83%,19.01%
Pennsylvania,Pennsylvania,11.27%,32.44%,9.98%,13.05%
Pennsylvania,Region 1 (Allegheny),12.70%,37.50%,12.31%,15.47%
Pennsylvania,"Regions 3, 8, 9, and 51",11.40%,32.88%,8.70%,11.98%
Pennsylvania,"Regions 4, 11, 37, and 49",11.60%,*,9.99%,12.64%
Pennsylvania,"Regions 5, 18, 23, 24, and 46",9.12%,23.93%,7.30%,9.43%
Pennsylvania,"Regions 6, 12, 16, 31, 35, 45, and 47",11.09%,35.07%,10.06%,14.63%
Pennsylvania,"Regions 7, 13, 20, and 33",12.87%,38.53%,8.91%,12.73%
Pennsylvania,"Regions 10, 15, 27, 32, 43, and 44",8.78%,*,7.07%,8.90%
Pennsylvania,Regions 17 and 21,9.78%,*,8.92%,11.35%
Pennsylvania,"Regions 19, 26, 28, and 42",10.00%,25.53%,7.65%,9.97%
Pennsylvania,"Regions 22, 38, 40, 41, and 48",10.27%,25.57%,7.77%,9.78%
Pennsylvania,Regions 29 and 34,10.52%,*,8.78%,11.59%
Pennsylvania,Regions 30 and 50,9.68%,*,9.03%,11.43%
Pennsylvania,Region 36 (Philadelphia),12.21%,38.42%,17.59%,21.14%
Rhode Island,Rhode Island,16.08%,41.96%,16.01%,20.04%
Rhode Island,Region 1: Southern Providence County,14.35%,*,15.01%,18.29%
Rhode Island,Region 2: Northern Providence County/Blackstone Valley,15.41%,39.76%,15.79%,18.86%
Rhode Island,Region 3: Providence,14.39%,*,17.00%,22.80%
Rhode Island,Region 4: Kent County,17.16%,*,14.65%,17.67%
Rhode Island,Region 5: East Bay,19.46%,*,20.17%,23.86%
Rhode Island,Region 6: Newport County,17.40%,*,15.19%,19.20%
Rhode Island,Region 7: South County,17.59%,*,16.02%,21.79%
South Carolina,South Carolina,10.94%,29.07%,8.51%,11.38%
South Carolina,Region 1,10.51%,24.10%,7.13%,9.50%
South Carolina,Region 2,10.39%,31.58%,9.46%,12.74%
South Carolina,Region 3,10.41%,24.81%,8.15%,10.29%
South Carolina,Region 4,12.35%,35.02%,9.50%,13.03%
South Dakota,South Dakota,11.65%,27.25%,8.24%,11.06%
South Dakota,Region 1,14.31%,33.44%,10.93%,14.13%
South Dakota,Region 2,10.27%,*,7.81%,9.83%
South Dakota,Region 3,10.49%,24.54%,6.48%,9.50%
South Dakota,Region 4,11.65%,*,7.95%,11.66%
South Dakota,Region 5,10.73%,23.59%,7.63%,9.81%
Tennessee,Tennessee,11.18%,28.24%,9.28%,11.94%
Tennessee,Region 1,10.69%,*,8.06%,10.33%
Tennessee,Region 2,10.81%,*,8.48%,10.63%
Tennessee,Region 3,10.41%,25.84%,7.46%,9.93%
Tennessee,Region 4 (Davidson),11.59%,*,12.20%,15.45%
Tennessee,Region 5,13.20%,33.04%,10.99%,14.10%
Tennessee,Region 6,9.46%,*,7.25%,9.70%
Tennessee,Region 7 (Shelby),9.91%,26.18%,9.44%,12.11%
Texas,Texas,10.83%,25.66%,7.11%,9.99%
Texas,Region 1,11.33%,*,6.59%,9.31%
Texas,Region 2,12.73%,*,8.60%,12.10%
Texas,Region 3,10.14%,24.15%,7.03%,9.53%
Texas,Region 3a,9.54%,24.22%,7.00%,9.51%
Texas,Region 3bc,11.21%,24.02%,7.09%,9.56%
Texas,Region 4,10.45%,24.76%,6.72%,9.21%
Texas,Region 5,10.59%,*,7.62%,10.52%
Texas,Region 6,10.60%,24.74%,6.82%,9.52%
Texas,Region 6a,10.46%,24.56%,6.80%,9.50%
Texas,Region 6bc,11.85%,*,7.03%,9.69%
Texas,Region 7,12.98%,35.29%,10.58%,14.83%
Texas,Region 7a,13.90%,38.46%,11.93%,16.02%
Texas,Region 7bcd,11.29%,31.08%,8.05%,12.74%
Texas,Region 8,11.67%,26.76%,6.72%,9.83%
Texas,Region 9,13.56%,*,7.49%,10.48%
Texas,Region 10,9.84%,21.48%,4.57%,7.53%
Texas,Region 11,9.47%,17.62%,4.18%,6.49%
Texas,Region 11abd,9.67%,17.70%,4.32%,6.55%
Texas,Region 11c (Hidalgo),9.17%,17.49%,3.93%,6.38%
Utah,Utah,9.53%,22.27%,6.75%,9.62%
Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",9.67%,*,6.02%,8.94%
Utah,"Central, Four Corners, San Juan, and Southwest",9.77%,21.33%,5.99%,8.70%
